Neighborhood,1stFlrSF,2ndFlrSF,BedroomAbvGr,KitchenAbvGr,FullBath,HalfBath,Fireplaces,YearBuilt,YrSold,SaleCondition,SalePrice
CollgCr,941,888,3,1,2,1,1,2003,2010,Normal,237000
NAmes,1516,0,3,1,1,1,0,1964,2009,Normal,167000
NAmes,1144,0,3,1,1,0,0,1961,2008,Normal,139950
Sawyer,1067,0,2,1,2,0,0,1950,2010,Normal,128000
OldTown,1559,0,2,1,1,0,0,1948,2007,Normal,153500
BrDale,483,504,2,1,1,1,0,1973,2008,Normal,100000
CollgCr,1099,0,3,1,1,1,0,1995,2008,Normal,144000
Edwards,768,432,3,1,1,0,0,1946,2008,Normal,130500
SWISU,810,672,4,1,2,0,0,1925,2008,Normal,140000
OldTown,958,581,3,1,2,0,1,1904,2008,Normal,157500
NAmes,1165,0,3,1,1,1,0,1966,2008,Normal,174900
NAmes,1800,0,6,2,2,0,0,1961,2007,Normal,141000
OldTown,876,540,4,1,1,1,1,1915,2008,Normal,153900
Sawyer,1701,0,3,1,2,0,2,1975,2007,Normal,171000
SawyerW,1006,769,3,1,2,1,1,1993,2009,Normal,213000
CollgCr,864,0,3,1,1,0,1,1972,2009,Normal,133500
ClearCr,1307,1051,5,1,3,0,1,1908,2008,Normal,240000
Veenker,1094,761,3,1,2,1,1,1976,2007,Normal,187000
CollgCr,848,0,1,1,1,0,0,2003,2007,Normal,131500
Blmngtn,1456,0,2,1,2,0,1,2003,2006,Normal,215000
Crawfor,918,728,4,1,2,0,2,1941,2007,Normal,164000
NAmes,1445,0,3,1,1,1,1,1964,2009,Normal,158000
Sawyer,1779,0,3,1,1,1,1,1955,2006,Abnorml,170000
Sawyer,1040,0,3,1,1,1,0,1962,2010,Normal,127000
CollgCr,1026,0,3,1,1,0,0,1978,2008,Normal,147000
Gilbert,702,779,3,1,2,1,1,1994,2009,Normal,174000
NWAmes,1370,0,3,1,2,0,1,1976,2009,Family,152000
NWAmes,1512,1142,4,1,2,1,1,1968,2006,Normal,250000
Crawfor,912,514,3,1,1,1,1,1918,2007,Normal,189950
Sawyer,1039,0,3,1,1,1,0,1965,2010,Normal,131500
SawyerW,1097,0,3,1,2,0,0,1984,2010,Normal,152000
NAmes,1148,0,3,1,1,0,0,1959,2009,Normal,132500
Somerst,1372,0,3,1,2,0,0,2007,2008,Partial,250580
NAmes,1002,0,3,1,1,0,0,1970,2009,Normal,148500
Timber,1646,0,3,1,2,0,1,2006,2007,Partial,248900
Sawyer,1120,0,3,1,1,1,0,1961,2007,Normal,129000
Gilbert,1547,720,2,1,2,0,1,1948,2006,Normal,169000
SawyerW,1062,887,3,1,2,1,1,1993,2010,Normal,236000
NAmes,894,0,2,1,1,0,0,1962,2009,Normal,109500
CollgCr,804,878,3,1,2,1,0,1998,2010,Normal,200500
NAmes,910,0,3,1,1,0,0,1953,2008,Normal,116000
NAmes,1036,0,3,1,1,0,1,1949,2009,Normal,133000
OldTown,676,455,3,1,1,1,0,1941,2009,Abnorml,66500
Somerst,1184,1426,4,1,2,1,1,2007,2007,Partial,303477
Mitchel,1040,0,3,1,1,0,0,1963,2007,Normal,132250
NridgHt,1462,762,4,1,2,1,1,2004,2009,Normal,350000
Sawyer,1155,0,3,1,1,0,0,1961,2010,Normal,148000
CollgCr,864,0,3,1,1,0,0,1978,2009,Normal,136500
Edwards,1090,0,2,1,1,1,0,2005,2007,Normal,157000
Timber,1187,530,3,1,2,1,1,1990,2007,Normal,187500
Gilbert,808,785,3,1,2,1,1,1992,2009,Normal,178000
SWISU,954,795,5,1,1,0,0,1912,2006,Normal,118500
NAmes,892,0,3,1,1,0,0,1967,2009,Normal,100000
Somerst,1709,0,2,1,2,0,1,1999,2008,Abnorml,328900
NAmes,1712,0,4,2,2,0,0,1959,2006,Family,145000
Edwards,872,521,3,1,1,1,0,1955,2008,Normal,135500
NAmes,2217,0,4,1,2,0,1,1970,2007,Normal,268000
NAmes,1505,0,2,1,1,0,1,1953,2009,Normal,149500
NAmes,672,252,3,1,1,0,1,1949,2007,Normal,122900
Sawyer,918,765,3,1,2,1,1,1978,2009,Normal,172500
Sawyer,1068,0,3,1,1,0,0,1963,2006,Normal,154500
Sawyer,1383,0,3,1,1,0,1,1954,2008,Normal,165000
SawyerW,1535,0,4,2,2,0,0,1979,2009,Alloca,118858
NAmes,983,813,4,1,1,1,1,1963,2008,Normal,140000
IDOTRR,951,0,2,1,1,0,0,1936,2006,Abnorml,106500
SawyerW,1120,1120,6,2,2,0,0,1979,2009,Alloca,142953
Sawyer,1236,0,3,1,1,0,1,1961,2006,Normal,135000
NAmes,858,0,2,1,1,0,0,1971,2007,Normal,110000
NAmes,1306,0,2,1,1,0,0,1957,2009,Normal,153000
Gilbert,807,702,3,1,2,1,1,2003,2006,Normal,180000
Gilbert,1670,0,3,1,2,0,1,2006,2006,Partial,240000
Sawyer,902,0,3,1,1,0,0,1967,2007,Normal,125500
NAmes,1063,0,3,1,1,0,0,1954,2010,Normal,128000
Somerst,1636,0,3,1,2,0,1,2006,2007,Normal,255000
Crawfor,1020,1037,3,1,1,1,1,1936,2006,Normal,250000
Mitchel,902,0,2,1,1,0,0,1983,2006,Normal,131000
Gilbert,742,742,3,1,2,1,1,2005,2009,Normal,174000
NAmes,1105,1169,5,2,2,0,0,1960,2010,Normal,154300
CollgCr,1268,0,3,1,1,1,0,1977,2009,Normal,143500
BrkSide,1015,0,3,1,1,0,0,1925,2006,Abnorml,88000
Crawfor,1001,1001,4,2,2,0,0,1949,2007,Normal,145000
Somerst,612,612,2,1,2,1,0,2009,2009,Partial,173733
MeadowV,546,546,3,1,1,1,0,1970,2007,Normal,75000
IDOTRR,480,0,1,1,0,0,0,1949,2006,Abnorml,35311
Edwards,1229,0,3,1,1,0,0,1956,2009,Normal,135000
SawyerW,912,1215,4,1,2,1,1,1991,2007,Normal,238000
NAmes,1414,0,3,1,1,0,1,1958,2008,Normal,176500
SawyerW,936,785,3,1,2,1,0,1994,2007,Normal,201000
Edwards,1272,928,4,2,2,2,0,1900,2008,Normal,145900
Gilbert,1316,0,3,1,2,0,1,2005,2006,Partial,169990
SawyerW,1617,0,2,1,2,0,1,1993,2008,Normal,193000
NWAmes,1686,0,3,1,2,0,1,1980,2006,Normal,207500
NWAmes,1126,0,3,1,2,0,0,1977,2008,Abnorml,175000
NridgHt,1234,1140,4,1,2,1,1,2003,2007,Normal,285000
NWAmes,1098,880,4,1,2,1,1,1968,2008,Normal,176000
CollgCr,1788,0,3,1,2,0,1,2001,2009,Normal,236500
Gilbert,993,1243,4,1,2,1,1,1997,2006,Normal,222000
Timber,1466,0,3,1,2,0,0,2007,2009,Normal,201000
NAmes,925,0,2,1,1,0,0,1965,2009,Normal,117500
Somerst,1905,0,3,1,2,0,1,2006,2007,Normal,320000
CollgCr,1500,0,3,1,2,0,0,2004,2009,Normal,190000
NAmes,2069,0,4,1,2,0,1,1960,2008,Normal,242000
BrkSide,747,0,1,1,1,0,0,1926,2006,Normal,79900
SawyerW,1200,0,2,1,2,0,0,2003,2009,Normal,184900
Somerst,1113,858,3,1,2,1,1,2005,2009,Normal,253000
CollgCr,1391,571,3,1,2,1,0,2006,2006,Partial,239799
ClearCr,1207,1196,4,1,2,0,2,1940,2010,Normal,244400
Mitchel,1728,0,4,2,2,0,0,1976,2006,Normal,150900
Gilbert,1022,1038,3,1,2,1,1,1999,2009,Normal,214000
Edwards,1440,0,4,2,2,0,0,1977,2007,Abnorml,150000
Mitchel,1632,0,4,2,2,0,0,1967,2007,Normal,143000
Timber,1344,0,3,1,1,0,1,1958,2009,Abnorml,137500
OldTown,1188,561,2,1,1,0,0,1890,2009,Normal,124900
NAmes,1144,0,3,1,1,0,1,1959,2006,Normal,143000
Timber,1629,0,3,1,2,0,1,2002,2007,Normal,270000
CollgCr,936,840,3,1,2,1,1,2002,2006,Normal,192500
NWAmes,1381,0,3,1,1,1,1,1972,2010,Normal,197500
NAmes,864,0,3,1,1,0,0,1950,2007,Normal,129000
SawyerW,965,0,3,1,1,0,0,1965,2006,Abnorml,119900
CollgCr,768,0,2,1,1,0,0,1972,2009,Normal,133900
Mitchel,1168,800,4,1,2,1,1,1969,2008,Normal,172000
Edwards,980,0,4,0,2,0,0,1975,2006,AdjLand,127500
Crawfor,979,979,4,2,2,0,0,1946,2007,Normal,145000
Blueste,561,668,2,1,1,1,1,1980,2009,Normal,124000
Sawyer,1057,0,3,1,1,0,0,1962,2007,Normal,132000
CollgCr,1337,0,3,1,2,0,0,2003,2007,Normal,185000
Somerst,696,720,3,1,2,1,0,1999,2010,Normal,155000
BrkSide,858,0,2,1,1,0,0,1958,2010,Normal,116500
NWAmes,1542,1330,4,1,2,1,1,1977,2008,Normal,272000
NPkVill,804,744,3,1,2,1,1,1976,2007,Normal,155000
CollgCr,1800,0,2,1,2,0,0,2007,2009,Normal,239000
Timber,824,1070,4,1,2,1,1,2002,2010,Normal,214900
Gilbert,783,701,3,1,2,1,1,2005,2007,Partial,178900
Crawfor,976,332,2,1,1,1,2,1940,2009,Normal,160000
NAmes,1098,0,3,1,1,0,0,1955,2008,Normal,135000
OldTown,600,368,2,1,1,0,0,1910,2009,Abnorml,37900
NAmes,1095,0,2,1,1,0,0,1958,2006,Normal,140000
NAmes,720,472,4,1,1,1,0,1949,2006,Abnorml,135000
NridgHt,764,862,2,1,2,0,0,2003,2009,Normal,173000
SawyerW,918,0,2,1,2,0,1,1979,2010,Normal,99500
Somerst,1428,0,3,1,2,0,0,2007,2008,Partial,182000
BrkSide,1136,883,3,1,1,0,0,1910,2009,Normal,167500
Somerst,673,709,3,1,2,1,0,2000,2006,Normal,165000
BrkSide,869,0,2,1,1,0,0,1923,2006,Normal,85500
Somerst,1241,0,1,1,1,1,0,2006,2007,Partial,199900
Edwards,894,0,3,1,1,0,0,1954,2007,Abnorml,110000
Sawyer,1121,0,3,1,1,0,0,1963,2009,Normal,139000
NAmes,999,0,3,1,1,0,0,1961,2008,Normal,178400
NoRidge,1276,1336,4,1,2,1,1,1998,2009,Normal,336000
Blmngtn,1266,0,2,1,2,0,1,2007,2008,Normal,159895
CollgCr,1149,1141,4,1,2,1,1,2002,2008,Normal,255900
Mitchel,1302,432,4,2,2,0,0,1977,2009,Normal,126000
Edwards,1164,0,3,1,1,0,0,1950,2008,Normal,125000
OldTown,1001,634,2,1,1,0,0,1910,2006,Normal,117000
NridgHt,1940,0,3,1,2,1,1,2009,2010,Partial,395192
NWAmes,1118,912,4,1,2,1,1,1976,2007,Normal,195000
Somerst,778,798,3,1,2,1,0,2006,2006,Partial,197000
NoRidge,1407,985,3,1,2,1,1,1997,2006,Normal,348000
OldTown,916,826,4,1,1,1,1,1882,2009,Normal,168000
NAmes,1020,831,3,1,2,1,1,1964,2007,Normal,187000
CollgCr,750,750,3,1,2,1,0,2005,2006,Partial,173900
NridgHt,1718,0,3,1,2,0,1,2006,2009,Normal,337500
BrkSide,774,456,3,1,1,1,0,1946,2006,Abnorml,121600
NAmes,1050,0,3,1,1,0,0,1961,2006,Normal,136500
NWAmes,1442,0,2,1,2,0,1,1970,2009,Normal,185000
IDOTRR,1077,0,3,1,1,0,1,1922,2006,Normal,91000
CollgCr,1208,0,2,1,2,0,0,2006,2010,Normal,206000
Edwards,944,0,2,1,1,0,0,1952,2009,Normal,82000
OldTown,691,0,2,1,1,0,0,1920,2007,Abnorml,86000
Somerst,1574,0,3,1,2,0,1,2006,2008,Normal,232000
NWAmes,1680,0,4,2,2,0,0,1976,2007,Normal,136905
Blmngtn,1504,0,1,1,2,0,1,2005,2009,Normal,181000
CollgCr,985,0,3,1,2,0,0,1977,2008,Normal,149900
NAmes,1657,0,3,1,2,0,1,1970,2007,Normal,163500
MeadowV,546,546,3,1,1,1,0,1970,2009,Normal,88000
Mitchel,1710,0,3,1,2,0,1,2004,2009,Normal,240000
SWISU,1008,0,4,1,2,0,0,1926,2006,Normal,102000
Sawyer,720,551,4,1,2,0,1,1948,2008,Normal,135000
Edwards,1664,0,4,2,2,0,0,1965,2010,Normal,100000
Crawfor,900,602,3,1,1,1,2,1923,2007,Normal,165000
OldTown,1022,0,2,1,1,0,0,1910,2009,Normal,85000
NAmes,1082,0,2,1,1,0,1,1948,2007,Normal,119200
NWAmes,810,855,3,1,2,1,0,2001,2009,Normal,227000
CollgCr,1504,0,3,1,2,0,1,1996,2009,Normal,203000
StoneBr,1360,0,1,1,1,0,1,1984,2009,Abnorml,187500
Gilbert,802,670,3,1,2,1,1,1991,2007,Normal,160000
Blmngtn,1506,0,2,1,2,0,1,2005,2006,Normal,213490
Edwards,1132,0,2,1,1,1,0,2005,2008,Normal,176000
CollgCr,1220,0,2,1,2,0,0,2006,2006,Partial,194000
OldTown,912,336,2,1,1,0,0,1930,2007,Normal,87000
Blmngtn,1504,0,2,1,2,0,1,2005,2008,Normal,191000
Timber,2898,0,2,1,2,0,1,1976,2008,Abnorml,287000
CollgCr,882,0,3,1,1,0,0,1972,2007,Normal,112500
NAmes,1264,0,3,1,1,0,2,1960,2010,Normal,167500
Timber,1646,0,3,1,2,0,1,2007,2008,Partial,293077
NAmes,968,408,3,1,1,0,1,1941,2007,Normal,105000
BrDale,672,546,3,1,1,1,0,1972,2006,Normal,118000
SWISU,948,980,5,2,2,0,0,1916,2006,Normal,160000
SWISU,1687,998,5,1,2,1,2,1920,2009,Normal,197000
NoRidge,1352,1168,5,1,2,1,1,1993,2006,Abnorml,310000
CollgCr,1654,0,3,1,2,0,0,2002,2006,Normal,230000
Crawfor,954,0,2,1,1,0,1,1938,2007,Normal,119750
Edwards,845,0,3,1,1,0,0,1957,2009,Normal,84000
Timber,1620,0,2,1,2,0,1,2007,2009,Normal,315500
CollgCr,1055,1208,3,1,2,1,1,2001,2008,Normal,287000
MeadowV,798,546,3,1,1,1,1,1970,2009,Normal,97000
MeadowV,630,0,1,1,1,0,0,1970,2009,Normal,80000
Sawyer,1803,0,3,1,2,0,1,1957,2006,Normal,155000
NWAmes,800,832,4,1,1,1,0,1966,2008,Normal,173000
NridgHt,1306,0,1,1,2,0,1,2005,2009,Normal,196000
SawyerW,1532,797,4,1,2,1,1,1990,2008,Normal,262280
NWAmes,2524,0,4,1,2,1,1,1981,2009,Normal,278000
Edwards,1733,0,4,1,2,0,1,1955,2009,Normal,139600
StoneBr,1992,876,4,1,3,1,1,2005,2006,Partial,556581
CollgCr,990,0,3,1,1,0,0,1994,2008,Normal,145000
Mitchel,1771,0,3,1,1,0,1,1960,2009,Normal,115000
Edwards,930,0,2,1,1,0,0,1946,2010,Abnorml,84900
Gilbert,1302,0,3,1,2,0,0,2007,2007,Partial,176485
CollgCr,1316,0,3,1,2,0,1,2007,2007,Partial,200141
NAmes,1127,850,4,1,1,1,1,1964,2007,Normal,165000
Edwards,1526,0,4,1,1,0,1,1957,2010,Normal,144500
CollgCr,1091,898,3,1,2,1,1,2002,2006,Normal,255000
NWAmes,1523,0,3,1,2,0,1,1976,2008,Abnorml,180000
NridgHt,1364,0,2,1,2,0,1,2005,2006,Normal,185850
NoRidge,979,871,3,1,2,1,1,1994,2009,Normal,248000
NridgHt,1130,1054,3,1,2,1,1,2008,2009,Normal,335000
Crawfor,1096,895,3,1,1,1,1,1932,2007,Normal,220000
StoneBr,1338,0,2,1,2,0,0,2001,2010,Normal,213500
IDOTRR,894,0,2,1,1,0,0,1935,2008,Normal,81000
OldTown,1422,915,5,2,2,0,0,1900,2007,Normal,90000
OldTown,1103,0,2,1,1,0,1,1925,2006,Normal,110500
NAmes,1154,0,3,1,1,1,1,1966,2009,Normal,154000
ClearCr,1306,954,3,1,2,1,0,1996,2010,Normal,328000
Gilbert,799,772,3,1,2,1,1,1993,2009,Normal,178000
NAmes,798,813,4,1,1,1,0,1964,2008,Normal,167900
MeadowV,1291,1230,5,1,2,1,1,1973,2006,Normal,151400
NAmes,893,0,2,1,1,0,0,1949,2007,Normal,135000
NAmes,1048,0,3,1,1,0,0,1956,2007,Normal,135000
NWAmes,829,727,4,1,1,1,0,1968,2009,Normal,154000
Edwards,1002,454,4,1,1,0,1,1948,2006,Normal,91500
Edwards,698,728,3,1,1,1,0,1977,2009,Normal,159500
CollgCr,1240,0,2,1,2,0,0,2006,2007,Normal,194000
Crawfor,960,780,3,1,1,1,2,1940,2007,Normal,219500
OldTown,1096,370,3,1,2,0,1,1936,2006,Normal,170000
NAmes,1096,0,3,1,1,0,0,1969,2006,Abnorml,138800
CollgCr,848,0,1,1,1,0,1,2004,2006,Normal,155900
CollgCr,990,0,3,1,1,0,0,1994,2007,Normal,126000
NWAmes,1258,0,3,1,2,0,0,1971,2008,Abnorml,145000
Sawyer,1040,0,3,1,1,1,0,1963,2010,Normal,133000
CollgCr,1459,0,3,1,2,0,1,2002,2007,Normal,192000
NAmes,1251,0,3,1,1,0,2,1964,2006,Normal,160000
Gilbert,691,807,3,1,2,1,1,1995,2006,Normal,187500
SawyerW,996,0,2,1,1,0,0,1992,2010,Normal,147000
MeadowV,546,546,3,1,1,1,0,1973,2010,Normal,83500
Somerst,1082,871,3,1,2,1,1,2005,2009,Normal,252000
Edwards,970,739,3,1,2,0,0,2004,2006,Normal,137500
Somerst,1247,0,1,1,1,1,1,2005,2006,Normal,197000
NAmes,1040,0,2,2,2,0,0,1950,2009,Normal,92900
Somerst,624,628,2,1,2,1,0,1999,2008,Normal,160000
SWISU,1390,304,4,1,2,0,1,1925,2008,Normal,136500
NAmes,1200,0,1,1,1,1,0,1965,2006,Normal,146000
NAmes,936,0,2,1,1,0,0,1956,2010,Normal,129000
CollgCr,1314,0,3,1,2,0,1,2006,2007,Normal,176432
IDOTRR,773,582,3,1,1,1,0,1914,2007,Normal,127000
StoneBr,1088,0,2,1,1,1,0,1986,2007,Normal,170000
BrkSide,757,567,3,1,1,0,0,1936,2009,Normal,128000
NWAmes,1601,0,3,1,2,0,1,1978,2009,Abnorml,157000
SWISU,438,0,1,1,1,0,0,1920,2009,Normal,60000
NAmes,950,0,3,1,1,0,0,1971,2007,Normal,119500
NAmes,1134,0,2,1,1,0,0,1960,2007,Family,135000
NAmes,1194,0,3,1,1,0,1,1959,2006,Normal,159500
BrDale,630,672,3,1,2,1,0,1970,2007,Normal,106000
NoRidge,1500,1122,3,1,2,1,2,1994,2010,Normal,325000
SawyerW,1442,0,3,1,2,0,1,1990,2007,Normal,179900
Gilbert,887,1134,3,1,2,1,1,2006,2006,Partial,274725
Gilbert,948,742,3,1,2,1,1,2000,2007,Abnorml,181000
NridgHt,1836,0,3,1,2,0,1,2004,2009,Normal,280000
Gilbert,773,885,3,1,2,1,1,1995,2008,Normal,188000
NWAmes,1098,866,4,1,2,1,1,1976,2008,Normal,205000
NAmes,816,0,2,1,1,0,0,1957,2006,Normal,129900
NAmes,1008,0,2,1,1,0,0,1953,2007,Normal,134500
OldTown,833,0,2,1,1,0,0,1954,2006,Normal,117000
NridgHt,1734,0,3,1,2,0,1,2007,2007,Partial,318000
Gilbert,779,640,3,1,2,1,1,2002,2009,Normal,184100
Sawyer,894,0,3,1,1,0,0,1967,2008,Normal,130000
Sawyer,1021,580,3,1,1,0,0,1958,2008,Normal,140000
NAmes,1040,0,3,1,1,0,0,1959,2006,Normal,133700
IDOTRR,1012,0,2,1,1,0,1,1920,2007,Normal,118400
CollgCr,1552,0,3,1,2,0,0,2005,2006,Partial,212900
Edwards,960,0,3,1,1,0,0,1956,2009,Abnorml,112000
Edwards,698,0,2,1,1,0,0,1947,2009,Normal,118000
Gilbert,812,670,3,1,2,1,1,1992,2007,Normal,163900
NAmes,1005,0,2,1,1,0,1,1955,2009,Normal,115000
Blmngtn,1555,0,2,1,2,0,1,2007,2009,Normal,174000
Gilbert,1530,0,3,1,2,0,1,2004,2007,Family,259000
Gilbert,847,1112,4,1,2,1,1,2004,2007,Normal,215000
OldTown,936,0,2,1,1,0,0,1980,2007,Normal,140000
SWISU,1328,653,4,1,2,0,2,1928,2009,Normal,135000
Mitchel,974,0,3,1,1,0,0,1991,2007,Abnorml,93500
OldTown,1178,1032,5,1,2,0,0,1880,2007,Normal,117500
SawyerW,1142,878,3,1,2,1,1,1995,2009,Normal,239500
Gilbert,916,684,3,1,2,1,1,1997,2007,Normal,169000
BrkSide,986,0,2,1,1,0,1,1926,2007,Normal,102000
NAmes,1032,220,3,1,1,0,0,1950,2008,Abnorml,119000
Sawyer,780,240,2,1,1,0,0,1875,2010,Normal,94000
Mitchel,1567,0,2,1,2,0,2,1977,2009,Normal,196000
BrkSide,1167,0,3,1,1,0,1,1920,2007,Normal,144000
NAmes,952,0,2,1,1,0,0,1951,2008,Abnorml,139000
NWAmes,1088,780,4,1,2,1,1,1976,2009,Normal,197500
CollgCr,1466,1362,4,1,3,0,1,2006,2007,Partial,424870
Sawyer,1006,0,3,1,1,0,0,1959,2008,Normal,80000
Edwards,672,252,2,1,1,0,0,1941,2010,Normal,80000
BrkSide,1042,534,3,1,1,0,1,1928,2006,Family,149000
SawyerW,1298,0,3,1,2,0,1,1985,2006,Normal,180000
Crawfor,860,704,3,1,1,1,1,1941,2009,Normal,174500
OldTown,572,539,2,1,1,0,1,1926,2008,Normal,116900
OldTown,832,650,3,1,1,0,0,1920,2009,Normal,143000
NAmes,932,0,2,1,1,0,1,1950,2007,Normal,124000
Edwards,1466,0,3,1,1,1,2,1959,2006,Normal,149900
Crawfor,1811,0,2,1,1,0,1,1956,2006,Abnorml,230000
IDOTRR,816,0,2,1,1,0,0,1930,2008,Normal,120500
NAmes,902,918,4,1,1,2,2,1965,2008,Normal,201800
Veenker,1437,0,3,1,2,0,1,1976,2007,Normal,218000
NAmes,1265,0,3,1,2,0,1,1965,2008,Normal,179900
NridgHt,1314,0,2,1,2,0,1,2007,2009,Normal,230000
Somerst,1580,0,3,1,2,0,0,2007,2008,Partial,235128
NWAmes,943,933,4,1,2,1,1,1974,2008,Normal,185000
NPkVill,855,601,3,1,2,1,1,1978,2010,Normal,146000
Crawfor,1640,0,3,1,1,0,1,1954,2008,Normal,224000
Sawyer,894,0,3,1,1,0,1,1968,2007,Normal,129000
Sawyer,1258,0,0,2,0,2,0,1969,2008,Alloca,108959
Veenker,1432,0,2,1,1,1,1,1978,2007,Normal,194000
NridgHt,1502,0,3,1,2,0,0,2009,2009,Partial,233170
CollgCr,1694,0,3,1,2,0,0,2008,2010,Normal,245350
Gilbert,959,712,3,1,2,1,1,2000,2006,Normal,173000
Edwards,1236,872,4,1,2,0,2,1935,2008,Normal,235000
Mitchel,1118,0,3,1,1,0,1,1977,2008,Normal,171000
NAmes,1261,0,3,1,1,0,1,1958,2008,Normal,163000
Somerst,625,625,2,1,2,1,0,2006,2008,Normal,171900
ClearCr,1636,971,3,1,3,0,1,1946,2007,Normal,200500
Crawfor,1170,1175,4,1,2,1,1,1932,2006,Normal,239000
NoRidge,2129,743,4,1,2,1,1,1992,2007,Normal,285000
Mitchel,923,0,3,1,1,0,0,1984,2008,Normal,119500
OldTown,818,406,3,1,1,0,0,1926,2009,Normal,115000
Crawfor,820,523,3,1,1,1,1,1921,2009,Normal,154900
Edwards,1124,0,3,1,1,0,1,1954,2006,Normal,93000
Timber,1298,1216,4,1,2,1,0,1990,2006,Normal,250000
Crawfor,1652,0,2,1,2,0,1,2008,2008,Partial,392500
OldTown,1130,0,2,1,1,0,1,1920,2006,Normal,120000
Timber,1572,0,3,1,1,1,2,1963,2007,Normal,186700
Edwards,949,272,4,1,1,0,0,1924,2006,Normal,104900
OldTown,1014,685,3,2,2,0,0,1900,2009,Abnorml,95000
NoRidge,1624,0,2,1,2,0,1,1994,2006,Normal,262000
CollgCr,831,829,3,1,2,1,0,2002,2009,Normal,195000
Gilbert,1028,776,3,1,2,1,1,1999,2010,Normal,189000
Mitchel,1622,0,3,1,1,0,1,1961,2007,Normal,168000
Somerst,764,677,2,1,2,1,0,1999,2007,Normal,174000
OldTown,842,630,3,1,1,0,0,1925,2007,Normal,125000
Mitchel,1224,0,2,1,2,0,0,1999,2009,Normal,165000
Sawyer,663,689,4,1,1,1,0,1969,2010,Normal,158000
Gilbert,728,728,3,1,2,1,0,2005,2008,Normal,176000
Gilbert,879,984,4,1,2,1,1,2006,2006,Partial,219210
OldTown,815,875,3,1,1,0,1,1916,2006,Normal,144000
CollgCr,1212,0,3,1,2,0,0,2001,2009,Normal,178000
Sawyer,1382,0,3,1,1,1,1,1963,2006,Normal,148000
NAmes,864,0,3,1,1,0,0,1970,2006,Abnorml,116050
CollgCr,866,913,3,1,2,1,0,1998,2009,Normal,197900
BrkSide,884,464,3,1,1,0,1,1925,2009,Normal,117000
CollgCr,1630,0,3,1,2,0,1,2000,2009,Normal,213000
NWAmes,1074,0,3,1,1,1,0,1975,2006,Normal,153500
SawyerW,2196,0,3,1,2,0,1,1990,2009,Normal,271900
SawyerW,1056,0,2,1,1,0,0,1966,2006,Normal,107000
CollgCr,1700,0,3,1,2,0,0,2003,2006,Normal,200000
NAmes,1283,0,3,1,1,0,0,1962,2008,Normal,140000
Somerst,1660,0,3,1,2,0,1,2006,2006,Partial,290000
SawyerW,1055,790,3,1,2,1,1,1992,2010,Normal,189000
Gilbert,1080,672,4,1,2,0,0,1988,2010,Normal,164000
Edwards,672,0,2,1,1,0,0,1941,2009,Normal,113000
Sawyer,960,0,0,1,0,0,0,1965,2006,Normal,145000
NAmes,999,0,3,1,1,0,0,1962,2006,Normal,134500
Sawyer,894,0,3,1,1,0,0,1966,2007,Normal,125000
Sawyer,1318,584,4,2,2,0,0,1978,2010,Normal,112000
Somerst,1314,0,3,1,2,0,0,2009,2009,Partial,229456
BrkSide,672,240,2,1,1,0,0,1947,2006,Normal,80500
BrDale,672,546,3,1,1,1,0,1971,2006,Abnorml,91500
NAmes,912,0,2,1,1,0,0,1964,2006,Abnorml,115000
Sawyer,1211,0,3,1,1,0,1,1968,2008,Normal,134000
NAmes,1168,678,3,1,2,0,1,1949,2007,Normal,143000
NAmes,2136,0,4,1,2,0,0,1951,2006,Normal,137900
Gilbert,788,702,3,1,2,1,1,2004,2008,Normal,184000
NAmes,1138,0,3,1,1,0,0,1958,2007,Normal,145000
Somerst,894,1039,4,1,2,1,1,2007,2008,Normal,214000
NAmes,912,0,2,1,1,0,0,1965,2008,Normal,147000
NridgHt,1702,0,1,1,1,1,1,2008,2008,Partial,367294
NAmes,1507,0,4,1,2,0,0,1960,2008,Normal,127000
Sawyer,1361,1259,4,2,2,2,1,1977,2007,Normal,190000
NAmes,1190,0,3,1,1,0,0,1962,2006,Normal,132500
NAmes,1224,0,2,2,2,0,0,1962,2007,Normal,101800
NAmes,1188,0,3,1,1,0,0,1959,2010,Abnorml,142000
SWISU,1024,940,4,1,1,1,0,1911,2008,Abnorml,130000
Crawfor,892,892,4,1,1,1,0,1914,2006,Normal,138887
NridgHt,764,862,2,1,2,1,0,2003,2010,Normal,175500
CollgCr,847,1101,4,1,2,1,1,2004,2006,Normal,195000
SawyerW,1141,0,3,1,1,1,0,2005,2006,Abnorml,142500
Timber,1484,0,2,1,2,0,1,2006,2007,Normal,265900
CollgCr,884,884,3,1,2,1,0,2003,2008,Normal,224900
Somerst,1689,0,3,1,2,0,0,2007,2007,Partial,248328
NWAmes,1173,0,3,1,2,0,2,1974,2010,Family,170000
NridgHt,2076,0,2,1,2,1,1,2006,2006,Partial,465000
Crawfor,792,725,3,1,1,0,2,1929,2006,Normal,230000
NWAmes,1140,728,3,1,3,1,1,1984,2007,Abnorml,178000
Somerst,756,797,3,1,2,1,0,2005,2006,Partial,186500
Mitchel,1034,0,3,1,1,0,0,1976,2010,Normal,169900
OldTown,1134,924,3,1,1,1,1,1917,2008,Normal,129500
NAmes,988,0,3,1,1,0,0,1950,2007,Normal,119000
NAmes,2110,0,3,1,2,1,2,1968,2010,Normal,244000
